a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,class
3,4.602186231767145,0.6484607487360154,0.742698457688247,-3.4727944678287086,148,0.7220936306180176,72.01425110092151,6.850720790785859,677,A
22,-1.8692089237726788,0.24167551392556041,0.8377870245927044,-17.948409324877684,94,0.167048877293847,23.155007871484262,11.590259721061384,732,A
66,-5.0212731026947,-0.8328341823168064,0.21899278290893665,-13.193806502935205,101,0.9626294315048939,73.50616232868394,-15.19007402857207,509,B
77,-3.1799073951841024,0.931264556542015,0.3653937297167591,8.670737620515002,127,0.5669996678682142,98.89906579284761,-0.9854093390350638,397,C
95,-4.780919032945534,-0.24526892514831022,0.743944473061261,-8.693893264172457,119,0.7222212758266695,13.93583066383885,14.730761629493792,642,B
59,2.2586651916237286,-0.11973750975523778,0.6232870762604683,5.445865405712602,141,0.15306770786520418,63.007786979569424,23.05035969094634,575,B
36,-6.978564853088866,0.015728743025244185,0.38287884664717864,-14.661211789446854,123,0.22193055132801176,62.52067511433449,-11.39023237460869,617,A
59,-2.3394985983533108,0.40349488197457783,0.9232089666879406,-7.724726194265234,107,0.3566483641554967,30.097430943295215,-2.524754827882205,313,D
77,2.6300733880666973,0.41463323003029084,0.4672075999567693,7.1428943486865695,118,0.8131793643812042,3.186803500530866,27.192372066320942,364,D
8,3.266574291563089,0.19785347256025188,0.6269314380428198,-1.5499434968883214,81,0.05796709272689482,15.121176927035158,6.280195681997882,353,D
59,2.4545745915505983,-0.012161326771094938,0.35037530139415973,-6.258191978207171,146,0.6649710259486274,20.444522044292,5.598737462182967,519,B
37,6.418051430043162,0.7729089805808251,0.926404757886226,-2.9501029169959,64,0.4116109941132976,21.64429441341193,8.081468108024648,918,C
58,-0.6602128506630446,-0.555184023864425,0.021958691218645576,-5.177519274131794,92,0.4596569417032982,63.64408638615142,6.124707928475621,689,A
28,5.210607571686552,-0.5146790750047079,0.7423687998436572,-6.204318399430755,101,0.8817213616706718,99.06975462513903,13.737145629563916,992,D
2,-5.259190497784753,0.17038888116461015,0.45814211674260774,-17.93721299101057,59,0.7262442605149707,42.43631008624122,3.9971341543862007,436,C
57,-1.488949599317961,0.6191626559245578,0.8693342861943326,-1.501546787342333,50,0.2751960607305376,87.25736455523649,-9.8907232202261,877,C
26,-0.3611091037075175,0.16825992989168292,0.38558305741169163,15.190882027617981,66,0.35952616487859856,71.40682368395059,-5.4936227754828,410,C
99,0.8526941013445318,-0.22814214670011523,0.14224849914796,10.417965145870419,149,0.6874824385278204,28.29668894258613,-10.582330511637082,720,B
91,0.9860656304729437,-0.1944648028136995,0.9548381650441392,-0.9929444463792836,59,0.033719133954182356,76.09868778504111,14.779799631421806,162,F
98,-2.1220083026346885,-0.9953455907768922,0.5086231525507234,-4.098581301829851,86,0.12701725840489964,24.167536903554073,12.857646352736682,481,C
1,-2.3519621092669905,0.623417272636648,0.44706015460420434,-13.731291262024374,112,0.752621188150602,11.3434090301226,10.899338612540882,956,C
82,1.9365054164063855,0.973658176684377,0.8496985240812291,3.1369289782380188,63,0.7664900760448865,72.28730056303743,6.16274394863118,674,B
78,1.1576532253536782,-0.7534324152846916,0.6689958629801678,-8.187495710741153,99,0.37962846458090305,19.8893816665594,3.980377911234873,383,D
32,0.01993513473673487,-0.3408649011756886,0.5248563193197673,-4.173196119332999,149,0.33840191777840445,64.10183710976551,17.12590968173583,217,E
80,3.435871378020678,-0.7863734622251981,0.09980802665917243,2.076729963588895,110,0.8198124131439211,10.765259660803036,13.349067275610523,666,B
6,1.9527129653941118,0.7378278383837993,0.743228129108782,-5.05610865638921,109,0.6930375760303675,30.885912004071454,13.619637777557836,855,B
84,2.0591900195379416,-0.2397073676860979,0.7415194623388818,4.5127026040423495,59,0.11883514845869958,41.66564670586977,3.594461143507438,908,C
34,-4.093514829101362,-0.7239237752813048,0.7431715422359984,-21.479822081629774,108,0.18272354153971215,73.04513135410195,19.0442871377835,718,A
59,1.251092736116174,-0.9847357665437093,0.9698741084410535,5.356287780125268,52,0.16676940855399303,52.549892789637454,3.024065490541634,647,B
97,3.3359636721914763,-0.8581024808365516,0.8003305509431544,2.1692534854628462,64,0.5288542590801127,22.705169559352118,-1.2436031600570594,785,B
11,2.460690640061679,0.8372557795219813,0.32885057937961804,2.8697057320195927,100,0.4966349642259137,86.81104241139963,-5.5938986134087205,449,C
45,5.0639377245589055,0.5060419794263191,0.4610612455350278,7.017744967757785,56,0.7818347604253664,40.246328919672266,14.413574851756918,808,B
28,-2.1764273976802975,-0.08329798848594194,0.3960543917811674,9.801430377553773,126,0.19980151602757124,92.87863502400832,6.32136831440614,122,F
96,3.0668147912800485,-0.8222271991283132,0.7280318531081182,1.0927809556460826,63,0.38418127036190997,85.25697182208343,20.832725623157778,855,C
76,0.788496003291704,0.7915468782258488,0.7601895539540149,6.94656657710752,77,0.17834847944755172,48.42959454087865,15.492555930863432,198,E
81,-4.695452268451562,-0.24634908571404468,0.9380165758713314,1.1673039626040242,59,0.47521377038349344,68.17524255785285,8.052923756022148,281,E
89,-5.692817868244495,-0.10175797916531426,0.49299440781584436,-3.6118323405519472,106,0.7929297567859123,38.28276320385766,26.59925836074885,275,E
29,1.6147239836829634,0.3864954327379244,0.011609298901859244,3.554001330402893,57,0.6352909078424509,59.682697618681956,20.820865612731474,431,C
42,-3.3842129331451907,0.8766703503493294,0.32538660333497604,4.4260855580860685,90,0.9299092590081706,75.70143976403182,-1.453018051365527,953,C
79,1.3095261545544135,-0.6352619904834655,0.7450746580178483,-1.6035979854848907,90,0.10014910263438082,97.9389768458855,-0.6706693190314681,125,F
22,-2.1003592583086723,0.3329578437576157,0.08284152809581913,5.466044091495865,140,0.8840425992083358,3.8782704479692667,9.548676335278,183,E
92,-0.6253077972111528,0.010563566813435843,0.8607710794511368,-13.883618635497857,52,0.3315393256483916,57.35131263046088,15.127444546580467,123,F
38,1.0094407085939259,-0.1254966193377236,0.29346230165174203,17.359978348836385,51,0.9227885088376141,65.44810732468711,12.951976431556258,472,C
72,-5.068731797856117,0.7638138874110569,0.05604032194494646,-0.8453005789849142,113,0.8243775513182307,42.08871026089535,18.113628057105984,997,D
38,-0.1038831084188172,-0.17027845593781366,0.4698929926840193,5.619237952788849,143,0.9042560462063575,68.57287882895636,2.2522783802298534,507,B
78,-1.8767550127533181,-0.7038719238188031,0.7305090435331083,1.4407225501155403,136,0.19160903250469508,26.117130769443904,40.045040322504505,130,F
20,-0.1786953416752288,0.563076786874904,0.7902101564212799,-2.9385703628373143,63,0.874178372503427,63.323577431455476,18.684746747803864,155,F
28,-3.849243835840351,0.7594255785410944,0.02057408899902391,-8.513723975376609,89,0.12520939499476902,58.43595427757074,7.1736873602213365,718,A
80,1.3573216145380689,-0.39012484862253927,0.5603972631625848,-7.356810913558231,60,0.3729922140998849,70.41887714885678,19.160828113758058,667,B
54,7.89919894561846,0.2620520368623305,0.855816171984978,13.737761772866698,78,0.09232756409801024,93.55630825068802,2.508874009010489,420,C
48,-2.7775484616129993,0.7503767859382366,0.4394773982953877,25.873028216472818,61,0.02216205774379576,56.405609306122116,16.67457273325695,543,B
15,2.8303259287997427,-0.32935588459992515,0.23735794005127375,25.640925972866036,95,0.8937046739994242,4.686247334853217,22.302367299603123,402,C
61,2.629849809922712,-0.6799390948156308,0.011343322277187484,11.845141100103948,127,0.12472051067584311,53.01360891525452,0.6001613514811659,384,D
53,-2.0689189291720753,-0.42754905931964515,0.4483923012530453,-11.723409453358732,61,0.8461913515234953,58.50706844816418,5.845061832686541,274,E
95,1.0916529563864787,-0.7125901386637123,0.9972335332540673,2.5741420847665863,59,0.12164795375400927,48.477192234955865,11.24200722922481,499,C
42,-4.832928807803854,0.9194203117665003,0.1784232641609581,-15.379002259623586,108,0.8670652255208113,8.986444180762952,13.076783911721442,379,D
12,0.9273973618258458,-0.8421608433191607,0.009735718692182593,-12.545016309193656,149,0.6575388719073195,69.00820386619378,12.165016186269462,863,B
72,3.2884035730006134,0.42171357699430234,0.4853368435147306,-1.8803511957079304,150,0.7375202614477014,58.39480108256207,14.031037908798032,822,B
21,2.4108698127518187,0.9218573335397593,0.3986580873229314,-3.4111140072957546,128,0.08318363767085957,43.207884600052424,0.8039147996815572,975,D
4,-3.6331831777734505,-0.4768021451454303,0.491660486551296,8.312205264722254,87,0.38847901576201904,73.72239300079865,-4.28998669171855,322,D
94,6.127529414540857,-0.4842076846987169,0.7676924020880068,10.722618591864675,83,0.07782047760655708,4.459357951714809,11.323868138969319,563,B
